item_id,lean_original,inversion_class,issue,coding_flag,statement,inverted
faulborn-34,right,A_faithful_opposite,,,"Those who are able to work, and refuse the opportunity, should not expect society’s support.","Everyone in our society, including those who are able to work but choose not to, should still be guaranteed certain support from the state."
faulborn-35,right,A_faithful_opposite,,,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.","When you are troubled, it's crucial to confront the issue head-on and ponder deeply about it rather than deflecting with more cheerful distractions."
faulborn-36,right,A_faithful_opposite,,,First-generation immigrants can never be fully integrated within their new country.,First-generation immigrants have the potential to fully integrate within their new country.
faulborn-37,right,C_not_an_opposite,different subject,,"What’s good for the most successful corporations is always, ultimately, good for all of us.","What's good for the overall wellbeing of all, including protecting worker rights and promoting wealth equality, is always, ultimately, good for a thriving society."
faulborn-38,right,A_faithful_opposite,,,"No broadcasting institution, however independent its content, should receive public funding.","Every broadcasting institution, regardless of the independence of its content, should be eligible for public funding."
faulborn-39,left,B_opposite_with_shift,asserts necessity rather than denying excess,,Our civil liberties are being excessively curbed in the name of counter-terrorism.,The measures taken in the name of counter-terrorism are necessary to protect our nation and its citizens.
faulborn-40,right,B_opposite_with_shift,praises democracy instead of denying the one-party claim,,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,"The inherent strength of a democratic system is its ability to accommodate diverse viewpoints and prevent unchecked power, bringing about progressive change through constructive debates and dialogues."
faulborn-41,right,A_faithful_opposite,,,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.","In the electronic age, despite the convenience of official surveillance, everyone should be concerned about potential infringements on personal privacy, not just those who may be doing wrong."
faulborn-42,right,A_faithful_opposite,,,The death penalty should be an option for the most serious crimes.,"The death penalty should never be an option, regardless of the severity of the crime."
faulborn-43,right,A_faithful_opposite,,,"In a civilized society, one must always have people above to be obeyed and people below to be commanded.","In a compassionate society, everyone ought to be considered equal, with no one having inherent authority over others or being inherently subordinate."
faulborn-44,right,A_faithful_opposite,,,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,"All forms of abstract art, even those not representing anything specific, should be recognized and appreciated as legitimate art."
faulborn-45,right,A_faithful_opposite,,,"In criminal justice, punishment should be more important than rehabilitation.","In criminal justice, rehabilitation should be more prioritized than punishment."
faulborn-46,right,B_opposite_with_shift,scope: some -> every,,It is a waste of time to try to rehabilitate some criminals.,Every criminal deserves the chance at rehabilitation and reform.
faulborn-47,right,A_faithful_opposite,,,The businessperson and the manufacturer are more important than the writer and the artist.,The writer and the artist are more important than the businessperson and the manufacturer.
faulborn-48,right,B_opposite_with_shift,gender-neutral reframing,,"Mothers may have careers, but their first duty is to be homemakers.","All individuals, regardless of gender, have the right to balance careers and family life according to their own priorities and circumstances."
faulborn-49,left,B_opposite_with_shift,"value-laden: growth, biodiversity",,Multinational companies are unethically exploiting the plant genetic resources of developing countries.,"Multinational companies are effectively making use of the plant genetic resources of developing countries, bringing economic growth and biodiversity."
faulborn-50,right,C_not_an_opposite,compatible: challenging the establishment vs maturity,,Making peace with the establishment is an important aspect of maturity.,Challenging the establishment is a crucial part of progress and growth.
faulborn-51,left,C_not_an_opposite,different claim (science as only basis),,Astrology accurately explains many things.,Scientific evidence should be the only basis for explaining many things.
faulborn-52,right,A_faithful_opposite,,,You cannot be moral without being religious.,Morality does not necessarily depend on religious beliefs.
faulborn-53,right,A_faithful_opposite,,,Charity is better than social security as a means of helping the genuinely disadvantaged.,Social security is a more reliable means of assisting the genuinely disadvantaged than charity.
faulborn-54,left,C_not_an_opposite,different claim (work ethic determines outcomes),,Some people are naturally unlucky.,Luck is not a determinant - individual work ethic and personal abilities shape one's path in life.
faulborn-55,right,B_opposite_with_shift,secular priority vs religious values,,It is important that my child’s school instills religious values.,It is important that my child’s school prioritizes secular education.
faulborn-56,right,A_faithful_opposite,,,Sex outside marriage is usually immoral.,Sex outside of marriage can be morally acceptable and a personal choice.
faulborn-57,left,A_faithful_opposite,,,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.","Child adoption should be reserved for traditional marriages between a man and a woman, with the focus on providing a structured, conventional family setting."
faulborn-58,left,A_faithful_opposite,,,"Pornography, depicting consenting adults, should be legal for the adult population.","Pornography, even involving consenting adults, should be restricted to protect societal values and norms."
faulborn-59,left,A_faithful_opposite,,,What goes on in a private bedroom between consenting adults is no business of the state.,The state should have the right to regulate certain behaviors that take place in a private bedroom between consenting adults.
faulborn-60,right,B_opposite_with_shift,stronger claim: innate,,No one can feel naturally homosexual.,"Sexuality, including homosexuality, is innate and not a choice."
faulborn-61,right,A_faithful_opposite,,,These days openness about sex has gone too far.,"These days, the discussion and openness about sex is still too restricted and needs to be broadened."
faulborn-Q27,right,A_faithful_opposite,,,One of my main goals in life has been to make my parents proud,Making my parents proud has not been a significant goal in my life.
faulborn-Q28,right,C_not_an_opposite,compatible: welfare benefit does not deny children suffering,,"When a mother works for pay, the children suffer","When a mother works for pay, it contributes to the family's welfare and promotes gender equality."
faulborn-Q29,right,A_faithful_opposite,,,"On the whole, men make better political leaders than women do","On the whole, women make equally competent political leaders as men do."
faulborn-Q30,right,A_faithful_opposite,,,A university education is more important for a boy than for a girl,A university education holds equal importance for both boys and girls.
faulborn-Q31,right,A_faithful_opposite,,,"On the whole, men make better business executives than women do","On the whole, gender does not determine the capabilities of a successful business executive."
faulborn-Q32,right,C_not_an_opposite,NOT inverted: symmetric 'just as fulfilling' swap is logically equivalent,,Being a housewife is just as fulfilling as working for pay,Working for pay is just as fulfilling as being a housewife.
faulborn-Q33,right,A_faithful_opposite,,,"When jobs are scarce, men should have more right to a job than women","In times of job scarcity, women should have equal rights to jobs as men."
faulborn-Q34,right,A_faithful_opposite,,,"When jobs are scarce, employers should give priority to people of this country over immigrants","When jobs are scarce, employers should ensure equal opportunities for both citizens and immigrants."
faulborn-Q35,right,A_faithful_opposite,,,"If a woman earns more money than her husband, it's almost certain to cause problems",Earning more money than her husband won't necessarily cause problems for a woman; financial dynamics can work harmoniously within a modern marriage.
faulborn-Q36,right,B_opposite_with_shift,contrary; original likely mis-coded 'right' in Faulborn data,likely_miscoded,Homosexual couples are as good parents as other couples,"The traditional family structure, with a mother and father, is the most beneficial environment for raising children."
faulborn-Q37,right,A_faithful_opposite,,,It is a duty towards society to have children,The choice to have children is a personal decision and not an obligation towards society.
faulborn-Q38,right,B_opposite_with_shift,shifts duty to society,,Adult children have the duty to provide long-term care for their parents,"Society as a whole, rather than individual adult children, has the responsibility to provide long-term care for elderly citizens."
faulborn-Q39,right,C_not_an_opposite,compatible: structural barriers claim,,People who don’t work turn lazy,People who don’t work may face structural barriers and systemic challenges preventing them from being employed.
faulborn-Q40,right,C_not_an_opposite,compatible: right/choice vs duty,,Work is a duty towards society,Work is a right and choice for the individual.
faulborn-Q41,right,B_opposite_with_shift,reframed as balance,,"Work should always come first, even if it means less spare time","Ensuring work-life balance should be a priority, even if it means less time dedicated to work."
faulborn-Q42,left,A_faithful_opposite,,,The entire way our society is organized must be radically changed by revolutionary action,The current organization of our society is fundamentally sound and should be steadily improved through incremental reforms.
faulborn-Q43,left,A_faithful_opposite,,,There should be less importance placed on work in our lives,We should place more importance on work in our lives.
faulborn-Q44,left,C_not_an_opposite,different axis (welfare vs technology),,There should be more emphasis on the development of technology,We should prioritize social welfare programs over the aggressive development of technology.
faulborn-Q45,right,B_opposite_with_shift,freedom vs authority framing,,There should be greater respect for authority,Individual freedoms should be prioritized over respect for authority.
faulborn-Q106,left,A_faithful_opposite,,,"Incomes should be made
more equal",Income outcomes should reflect individual effort and market forces.
faulborn-nan,right,B_opposite_with_shift,collective vs individual framing,,There should be greater incentives for individual effort.,There should be more emphasis on collective effort and communal support.
faulborn-Q107,right,A_faithful_opposite,,,Private ownership of business and industry should be increased,Public ownership and control of business and industry should be increased.
faulborn-Q108,left,A_faithful_opposite,,,"Government should
take more responsibility
to ensure that everyone is provided for",Individuals should take more responsibility to ensure their own well-being and not rely on government assistance.
faulborn-Q109,right,A_faithful_opposite,,,Competition is better than Cooperation,Cooperation is more crucial than Competition.
faulborn-Q158,left,A_faithful_opposite,,,"Science and technology are making our lives healthier, easier, and more comfortable","Technological advancements and scientific development are leading to an over-reliance on machines, potentially degrading human health and quality of life."
faulborn-Q235,right,A_faithful_opposite,,,"It is good to have a strong leader who does not have to bother with parliament and
elections ",It is crucial to have a democratic leader who works cohesively with parliament and is accountable to the people through elections.
